Name: CCTV-5+, URL: http://221.205.180.18:8005/rtp/226.0.2.168:9256, IPv_Type: ipv4, Date: None, Delay: 7193 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-5+, URL: http://223.145.224.103:8000/rtp/239.76.253.168:9000, IPv_Type: ipv4, Date: None, Delay: 5633 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-5+, URL: http://223.145.224.103:8000/rtp/239.76.251.88:9000, IPv_Type: ipv4, Date: None, Delay: 5633 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-5+, URL: http://223.145.224.183:8000/rtp/239.76.253.168:9000, IPv_Type: ipv4, Date: None, Delay: 4131 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-5+, URL: http://223.145.224.183:8000/rtp/239.76.251.88:9000, IPv_Type: ipv4, Date: None, Delay: 4131 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-5+, URL: http://36.46.67.251:4022/rtp/239.111.205.13:5140, IPv_Type: ipv4, Date: None, Delay: 4856 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-5+, URL: http://222.141.135.201:8888/rtp/225.1.4.75:1104, IPv_Type: ipv4, Date: None, Delay: 2664 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-5+, URL: http://121.233.142.35:8888/rtp/239.49.8.18:9610, IPv_Type: ipv4, Date: None, Delay: 4789 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-5+, URL: http://222.67.40.127:8888/rtp/239.45.0.34:5140, IPv_Type: ipv4, Date: None, Delay: 3748 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-5+, URL: http://114.243.196.19:4022/rtp/239.3.1.130:8004, IPv_Type: ipv4, Date: None, Delay: 4738 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-6, URL: http://183.53.109.208:9090/rtp/239.77.0.171:5146, IPv_Type: ipv4, Date: None, Delay: 2899 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-6, URL: http://183.53.109.208:9090/rtp/239.77.0.178:5146, IPv_Type: ipv4, Date: None, Delay: 2899 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-6, URL: http://113.89.247.89:4200/rtp/239.77.0.171:5146, IPv_Type: ipv4, Date: None, Delay: 2164 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-6, URL: http://113.89.247.89:4200/rtp/239.77.0.178:5146, IPv_Type: ipv4, Date: None, Delay: 2164 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-6, URL: http://106.87.51.16:8888/rtp/235.254.198.143:1852, IPv_Type: ipv4, Date: None, Delay: 4797 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-6, URL: http://111.226.67.119:9999/rtp/239.254.201.154:7207, IPv_Type: ipv4, Date: None, Delay: 4895 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-6, URL: http://222.84.235.130:4022/rtp/239.81.0.233:4056, IPv_Type: ipv4, Date: None, Delay: 5811 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-6, URL: http://122.242.208.17:8888/rtp/233.50.201.198:5140, IPv_Type: ipv4, Date: None, Delay: 5371 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-6, URL: http://117.68.218.143:4022/rtp/238.1.78.172:7248, IPv_Type: ipv4, Date: None, Delay: 4434 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-6, URL: http://113.65.7.94:8888/rtp/239.255.40.175:8208, IPv_Type: ipv4, Date: None, Delay: 7126 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-6, URL: http://39.89.58.54:8888/rtp/239.253.254.193:8000, IPv_Type: ipv4, Date: None, Delay: 3807 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-6, URL: http://39.89.58.54:8888/rtp/239.253.254.7:8000, IPv_Type: ipv4, Date: None, Delay: 3807 ms, Speed: 0.03 M/s, Resolution: None
